운영상태,시설명,시설구분,도로명전체주소,소재지전체주소,시설위치(지상/지하),시설면적(㎡),최대수용인원,위도(EPSG4326),경도(EPSG4326)
사용중,신길1동 신길자이아파트 지하주차장 지하1층 ~ 지하2층,공공용시설,"서울특별시 영등포구 가마산로79길 19(신길동, 신길자이)",서울특별시 영등포구 신길동 4938 신길자이,지하,5556,6734,37.50611776,126.916861
사용중,삼성래미안 프레비뉴 아파트 지하1~2층,공공용시설,"서울특별시 영등포구 가마산로 442(신길동, 래미안프레비뉴)",서울특별시 영등포구 신길동 4945 래미안프레비뉴,지하,46046.2,55813,37.50496753,126.9059756
사용중,보라매 두산위브 아파트 지하 1층 주차장,공공용시설,"서울특별시 영등포구 여의대방로9길 5(신길동, 보라매두산위브)",서울특별시 영등포구 신길동 4497 보라매두산위브,지하,5779,7004,37.49719885,126.9148912
사용중,보라매신동아파밀리에아파트 지하1~3층주차장,공공용시설,"서울특별시 영등포구 디지털로 420(대림동, 보라매 신동아파밀리에)",서울특별시 영등포구 대림동 1125 보라매 신동아파밀리에,지하,13556,16431,37.49350315,126.9052669
사용중,우성2차아파트 지하1층,공공용시설,"서울특별시 영등포구 도림로47길 1(대림동, 우성아파트)",서울특별시 영등포구 대림동 695 우성아파트,지하,1800,2181,37.49545186,126.900311
사용중,양평2동 주민센터 지하1~3층,공공용시설,"서울특별시 영등포구 선유로47길 30, 양평2동 주민센터 (양평동4가)",서울특별시 영등포구 양평동4가 96 양평2동 주민센터,지하,4508.74,5465,37.53638021,126.8939557
사용중,신길동 힐스테이트클래시안 아파트 지하주차장 B2~B4층,공공용시설,"서울특별시 영등포구 신길로28길 9(신길동, 힐스테이트 클래시안)",서울특별시 영등포구 신길동 4969 힐스테이트 클래시안,지하,68748.95,83332,37.502901,126.9112544
사용중,신길 센트럴자이 아파트(지하1-3층),공공용시설,"서울특별시 영등포구 신길로29길 17(신길동, 신길센트럴자이아파트)",서울특별시 영등포구 신길동 4964 신길센트럴자이아파트,지하,46206,56007,37.50411491,126.9080384
사용중,신길센트럴아이파크아파트 지하1~2층,공공용시설,"서울특별시 영등포구 가마산로 426(신길동, 신길센트럴아이파크)",서울특별시 영등포구 신길동 4955 신길센트럴아이파크,지하,23223.13,28149,37.50442776,126.9040553
사용중,영등포아델포레아파트 지하1층 주차장,공공용시설,"서울특별시 영등포구 신길로 29(대림동, e편한세상 영등포 아델포레)",서울특별시 영등포구 대림동 1127 e편한세상 영등포 아델포레지하주차장,지하,44631,54098,37.49511923,126.9078395
사용중,아크로타워스퀘어 아파트 지하 1~3층 주차장,공공용시설,"서울특별시 영등포구 국회대로54길 10(영등포동7가, 아크로타워 스퀘어)",서울특별시 영등포구 영등포동7가 203 아크로타워 스퀘어,지하,51398,62300,37.52427308,126.9076242
사용중,대림동2차한신아파트 지하1~2층,공공용시설,"서울특별시 영등포구 디지털로69길 12(대림동, 대림동2차한신아파트)",서울특별시 영등포구 대림동 897-1 대림동2차한신아파트,지하,9665.13,11715,37.49465469,126.9040146
사용중,더샵파크프레스티지 아파트 지하주차장(지하1층~3층),공공용시설,"서울특별시 영등포구 가마산로79길 37 (신길동, 더샵 파크프레스티지)",서울특별시 영등포구 신길동 4974 더샵 파크프레스티지,지하,37120.35,44994,37.50757249,126.9172106
사용중,양평동서통한신아파트(지하주차장 1~2층),공공용시설,"서울특별시 영등포구 영등포로12길 7, 지하1층 (양평동1가, 양평동한신아파트)",서울특별시 영등포구 양평동1가 14-1 양평동한신아파트,지하,6191,7504,37.52190122,126.8877344
사용중,문래자이아파트 지하1~2층 주차장,공공용시설,"서울특별시 영등포구 당산로4길 12 (문래동3가, 문래자이)",서울특별시 영등포구 문래동3가 54 문래자이,지하,40010,48496,37.51696813,126.8959739
사용중,지에스강서타워 지하 1~2층,공공용시설,"서울특별시 영등포구 선유로 75, GS강서타워 (문래동6가)",서울특별시 영등포구 문래동6가 10 GS강서타워,지하,4217,5111,37.52082327,126.8890464
사용중,GS강서N타워(지하주차장 2층),공공용시설,"서울특별시 영등포구 선유로 82, GS강서N타워 지하2층 (양평동1가)",서울특별시 영등포구 양평동1가 5-1 GS강서N타워,지하,2532,3069,37.52128269,126.8902738
사용중,신길파크자이아파트 지하주차장,공공용시설,"서울특별시 영등포구 신길로28길 25 (신길동, 신길파크자이)",서울특별시 영등포구 신길동 4967 신길파크자이,지하,4687,5681,37.50225879,126.9129072
